Episode 306 finished after 103 timesteps, total reward: 103.0
Episode 307 finished after 110 timesteps, total reward: 110.0
Episode 308 finished after 112 timesteps, total reward: 112.0
Episode 309 finished after 116 timesteps, total reward: 116.0
Episode 310 finished after 123 timesteps, total reward: 123.0
Episode 311 finished after 53 timesteps, total reward: 53.0
Episode 312 finished after 113 timesteps, total reward: 113.0
Episode 313 finished after 49 timesteps, total reward: 49.0
Episode 314 finished after 60 timesteps, total reward: 60.0
Episode 315 finished after 112 timesteps, total reward: 112.0
Episode 316 finished after 49 timesteps, total reward: 49.0
Episode 317 finished after 91 timesteps, total reward: 91.0
Episode 318 finished after 61 timesteps, total reward: 61.0
Episode 319 finished after 108 timesteps, total reward: 108.0
Episode 320 finished after 110 timesteps, total reward: 110.0
Episode 321 finished after 104 timesteps, total reward: 104.0
Episode 322 finished after 102 timesteps, total reward: 102.0
Episode 323 finished after 106 timesteps, total reward: 106.0
Episode 324 finished after 100 timesteps, total reward: 100.0
Episode 325 finished after 108 timesteps, total reward: 108.0
Episode 326 finished after 26 timesteps, total reward: 26.0
Episode 327 finished after 58 timesteps, total reward: 58.0
Episode 328 finished after 99 timesteps, total reward: 99.0
Episode 329 finished after 112 timesteps, total reward: 112.0
Episode 330 finished after 102 timesteps, total reward: 102.0
Episode 331 finished after 100 timesteps, total reward: 100.0
Episode 332 finished after 101 timesteps, total reward: 101.0
Episode 333 finished after 52 timesteps, total reward: 52.0
Episode 334 finished after 106 timesteps, total reward: 106.0
Episode 335 finished after 99 timesteps, total reward: 99.0
Episode 336 finished after 105 timesteps, total reward: 105.0
Episode 337 finished after 87 timesteps, total reward: 87.0
Episode 338 finished after 25 timesteps, total reward: 25.0
Episode 339 finished after 108 timesteps, total reward: 108.0
Episode 340 finished after 31 timesteps, total reward: 31.0
Episode 341 finished after 106 timesteps, total reward: 106.0
Episode 342 finished after 97 timesteps, total reward: 97.0
Episode 343 finished after 119 timesteps, total reward: 119.0
Episode 344 finished after 106 timesteps, total reward: 106.0
Episode 345 finished after 105 timesteps, total reward: 105.0
Episode 346 finished after 104 timesteps, total reward: 104.0
Episode 347 finished after 91 timesteps, total reward: 91.0
Episode 348 finished after 113 timesteps, total reward: 113.0
Episode 349 finished after 123 timesteps, total reward: 123.0
Episode 350 finished after 128 timesteps, total reward: 128.0
Episode 351 finished after 102 timesteps, total reward: 102.0
Episode 352 finished after 25 timesteps, total reward: 25.0
Episode 353 finished after 103 timesteps, total reward: 103.0
Episode 354 finished after 110 timesteps, total reward: 110.0
Episode 355 finished after 113 timesteps, total reward: 113.0
Episode 356 finished after 104 timesteps, total reward: 104.0
Episode 357 finished after 113 timesteps, total reward: 113.0
Episode 358 finished after 109 timesteps, total reward: 109.0
Episode 359 finished after 98 timesteps, total reward: 98.0
Episode 360 finished after 123 timesteps, total reward: 123.0
Episode 361 finished after 113 timesteps, total reward: 113.0
Episode 362 finished after 97 timesteps, total reward: 97.0
Episode 363 finished after 146 timesteps, total reward: 146.0
Episode 364 finished after 61 timesteps, total reward: 61.0
Episode 365 finished after 110 timesteps, total reward: 110.0
Episode 366 finished after 126 timesteps, total reward: 126.0
Episode 367 finished after 91 timesteps, total reward: 91.0
Episode 368 finished after 111 timesteps, total reward: 111.0
Episode 369 finished after 109 timesteps, total reward: 109.0
Episode 370 finished after 98 timesteps, total reward: 98.0
Episode 371 finished after 110 timesteps, total reward: 110.0
Episode 372 finished after 84 timesteps, total reward: 84.0
Episode 373 finished after 86 timesteps, total reward: 86.0
Episode 374 finished after 86 timesteps, total reward: 86.0
Episode 375 finished after 107 timesteps, total reward: 107.0
Episode 376 finished after 37 timesteps, total reward: 37.0
Episode 377 finished after 85 timesteps, total reward: 85.0
Episode 378 finished after 98 timesteps, total reward: 98.0
Episode 379 finished after 101 timesteps, total reward: 101.0
Episode 380 finished after 29 timesteps, total reward: 29.0
Episode 381 finished after 24 timesteps, total reward: 24.0
Episode 382 finished after 118 timesteps, total reward: 118.0
Episode 383 finished after 19 timesteps, total reward: 19.0
Episode 384 finished after 81 timesteps, total reward: 81.0
Episode 385 finished after 21 timesteps, total reward: 21.0
Episode 386 finished after 105 timesteps, total reward: 105.0
Episode 387 finished after 109 timesteps, total reward: 109.0
Episode 388 finished after 116 timesteps, total reward: 116.0
Episode 389 finished after 42 timesteps, total reward: 42.0
Episode 390 finished after 101 timesteps, total reward: 101.0
Episode 391 finished after 33 timesteps, total reward: 33.0
Episode 392 finished after 99 timesteps, total reward: 99.0
Episode 393 finished after 34 timesteps, total reward: 34.0
Episode 394 finished after 14 timesteps, total reward: 14.0
Episode 395 finished after 34 timesteps, total reward: 34.0
Episode 396 finished after 101 timesteps, total reward: 101.0
Episode 397 finished after 93 timesteps, total reward: 93.0
Episode 398 finished after 96 timesteps, total reward: 96.0
Episode 399 finished after 112 timesteps, total reward: 112.0
Episode 400 finished after 89 timesteps, total reward: 89.0
Episode 401 finished after 41 timesteps, total reward: 41.0
Episode 402 finished after 107 timesteps, total reward: 107.0
Episode 403 finished after 115 timesteps, total reward: 115.0
Episode 404 finished after 105 timesteps, total reward: 105.0
Episode 405 finished after 165 timesteps, total reward: 165.0
Episode 406 finished after 133 timesteps, total reward: 133.0
Episode 407 finished after 133 timesteps, total reward: 133.0
Episode 408 finished after 119 timesteps, total reward: 119.0
Episode 409 finished after 127 timesteps, total reward: 127.0
Episode 410 finished after 100 timesteps, total reward: 100.0
Episode 411 finished after 37 timesteps, total reward: 37.0
Episode 412 finished after 101 timesteps, total reward: 101.0
Episode 413 finished after 109 timesteps, total reward: 109.0
Episode 414 finished after 86 timesteps, total reward: 86.0
Episode 415 finished after 113 timesteps, total reward: 113.0
Episode 416 finished after 114 timesteps, total reward: 114.0
Episode 417 finished after 115 timesteps, total reward: 115.0
Episode 418 finished after 114 timesteps, total reward: 114.0
Episode 419 finished after 107 timesteps, total reward: 107.0
Episode 420 finished after 100 timesteps, total reward: 100.0
Episode 421 finished after 122 timesteps, total reward: 122.0
Episode 422 finished after 113 timesteps, total reward: 113.0
Episode 423 finished after 119 timesteps, total reward: 119.0
Episode 424 finished after 113 timesteps, total reward: 113.0
Episode 425 finished after 83 timesteps, total reward: 83.0
Episode 426 finished after 99 timesteps, total reward: 99.0
Episode 427 finished after 93 timesteps, total reward: 93.0
Episode 428 finished after 113 timesteps, total reward: 113.0
Episode 429 finished after 105 timesteps, total reward: 105.0
Episode 430 finished after 103 timesteps, total reward: 103.0
Episode 431 finished after 99 timesteps, total reward: 99.0
Episode 432 finished after 105 timesteps, total reward: 105.0
Episode 433 finished after 140 timesteps, total reward: 140.0
